id,name,glottocode,year,map_name_full,note
1,Arandic,aran1267,traditional,Figure 1,
2,Central NSW,wira1262,traditional,Figure 1,
3,Djirbalic,dyir1250,traditional,Figure 1,
4,Durubalic,yaga1256,traditional,Figure 1,
5,Eastern Vic,east2706,traditional,Figure 1,
6,Gumbaygnggirr,gumb1242,traditional,Figure 1,
7,Kalkac,kalk1246,traditional,Figure 1,
8,Kanyara,kany1246,traditional,Figure 1,
9,Karnic,karn1253,traditional,Figure 1,
10,Kartu,kart1250,traditional,Figure 1,
11,Kulin,kuli1251,traditional,Figure 1,
12,Mantharta,mant1266,traditional,Figure 1,
13,Maric,mari1445,traditional,Figure 1,
14,Mayi,maya1280,traditional,Figure 1,
15,Murray,lowe1401,traditional,Figure 1,
16,Muruwari,muru1266,traditional,Figure 1,
17,Ngayarta,ngay1241,traditional,Figure 1,
18,Ngumpin-Yapa,ngum1251,traditional,Figure 1,
19,Nyungar,nyun1247,traditional,Figure 1,
20,Paakintyi,darl1243,traditional,Figure 1,
21,Paman,pama1251,traditional,Figure 1,
22,Thura-Yura,thur1253,traditional,Figure 1,
23,Waka-Kabi,waka1283,traditional,Figure 1,
24,Warluc,warl1256,traditional,Figure 1,
25,Warumungu,waru1265,traditional,Figure 1,
26,Wati,wati1241,traditional,Figure 1,
27,Yardli,yarl1246,traditional,Figure 1,
28,Yolngu,yoln1234,traditional,Figure 1,
29,Yuinkuri,yuin1243,traditional,Figure 1,
